schemaname,tablename,indexname,indexdef
"public","aircraft_components","uq_aircraft_component_aircraft_position","CREATE UNIQUE INDEX uq_aircraft_component_aircraft_position ON public.aircraft_components USING btree (aircraft_serial_number, ""position"")"
"public","aircraft_components","uq_aircraft_component_position_installed","CREATE UNIQUE INDEX uq_aircraft_component_position_installed ON public.aircraft_components USING btree (amo_id, aircraft_serial_number, ""position"") WHERE (is_installed = true)"
"public","aircraft_configuration_events","ix_config_events_amo_aircraft_date","CREATE INDEX ix_config_events_amo_aircraft_date ON public.aircraft_configuration_events USING btree (amo_id, aircraft_serial_number, occurred_at)"
"public","aircraft_configuration_events","ix_config_events_amo_aircraft_date_desc","CREATE INDEX ix_config_events_amo_aircraft_date_desc ON public.aircraft_configuration_events USING btree (amo_id, aircraft_serial_number, occurred_at DESC)"
"public","aircraft_configuration_events","ix_config_events_amo_position_date","CREATE INDEX ix_config_events_amo_position_date ON public.aircraft_configuration_events USING btree (amo_id, ""position"", occurred_at)"
"public","aircraft_configuration_events","ix_config_events_removal_tracking","CREATE INDEX ix_config_events_removal_tracking ON public.aircraft_configuration_events USING btree (amo_id, removal_tracking_id)"
"public","aircraft_configuration_events","pk_aircraft_configuration_events","CREATE UNIQUE INDEX pk_aircraft_configuration_events ON public.aircraft_configuration_events USING btree (id)"
"public","aircraft_documents","ix_aircraft_documents_aircraft_due","CREATE INDEX ix_aircraft_documents_aircraft_due ON public.aircraft_documents USING btree (aircraft_serial_number, expires_on)"
"public","aircraft_documents","ix_aircraft_documents_aircraft_serial_number","CREATE INDEX ix_aircraft_documents_aircraft_serial_number ON public.aircraft_documents USING btree (aircraft_serial_number)"
"public","aircraft_documents","ix_aircraft_documents_authority","CREATE INDEX ix_aircraft_documents_authority ON public.aircraft_documents USING btree (authority)"
"public","aircraft_documents","ix_aircraft_documents_document_type","CREATE INDEX ix_aircraft_documents_document_type ON public.aircraft_documents USING btree (document_type)"
"public","aircraft_documents","ix_aircraft_documents_status","CREATE INDEX ix_aircraft_documents_status ON public.aircraft_documents USING btree (status)"
"public","aircraft_documents","ix_aircraft_documents_status_due","CREATE INDEX ix_aircraft_documents_status_due ON public.aircraft_documents USING btree (status, expires_on)"
"public","aircraft_documents","pk_aircraft_documents","CREATE UNIQUE INDEX pk_aircraft_documents ON public.aircraft_documents USING btree (id)"
"public","aircraft_documents","uq_aircraft_document_unique","CREATE UNIQUE INDEX uq_aircraft_document_unique ON public.aircraft_documents USING btree (aircraft_serial_number, document_type, authority)"
"public","aircraft_import_preview_rows","ix_aircraft_import_preview_row_preview","CREATE INDEX ix_aircraft_import_preview_row_preview ON public.aircraft_import_preview_rows USING btree (preview_id, row_number)"
"public","aircraft_import_preview_rows","ix_aircraft_import_preview_row_preview_action","CREATE INDEX ix_aircraft_import_preview_row_preview_action ON public.aircraft_import_preview_rows USING btree (preview_id, action)"
"public","aircraft_import_preview_rows","pk_aircraft_import_preview_rows","CREATE UNIQUE INDEX pk_aircraft_import_preview_rows ON public.aircraft_import_preview_rows USING btree (id)"
"public","aircraft_import_preview_sessions","ix_aircraft_import_preview_session_created","CREATE INDEX ix_aircraft_import_preview_session_created ON public.aircraft_import_preview_sessions USING btree (created_at)"
"public","aircraft_import_preview_sessions","ix_aircraft_import_preview_session_type","CREATE INDEX ix_aircraft_import_preview_session_type ON public.aircraft_import_preview_sessions USING btree (import_type)"
"public","aircraft_import_preview_sessions","pk_aircraft_import_preview_sessions","CREATE UNIQUE INDEX pk_aircraft_import_preview_sessions ON public.aircraft_import_preview_sessions USING btree (preview_id)"
"public","aircraft_import_reconciliation_logs","ix_import_recon_batch","CREATE INDEX ix_import_recon_batch ON public.aircraft_import_reconciliation_logs USING btree (batch_id, created_at)"
"public","aircraft_import_reconciliation_logs","ix_import_recon_snapshot","CREATE INDEX ix_import_recon_snapshot ON public.aircraft_import_reconciliation_logs USING btree (snapshot_id, created_at)"
"public","aircraft_import_reconciliation_logs","pk_aircraft_import_reconciliation_logs","CREATE UNIQUE INDEX pk_aircraft_import_reconciliation_logs ON public.aircraft_import_reconciliation_logs USING btree (id)"
"public","aircraft_import_snapshots","ix_import_snapshot_batch","CREATE INDEX ix_import_snapshot_batch ON public.aircraft_import_snapshots USING btree (batch_id, created_at)"
"public","aircraft_import_snapshots","ix_import_snapshot_type","CREATE INDEX ix_import_snapshot_type ON public.aircraft_import_snapshots USING btree (import_type, created_at)"
"public","aircraft_import_snapshots","pk_aircraft_import_snapshots","CREATE UNIQUE INDEX pk_aircraft_import_snapshots ON public.aircraft_import_snapshots USING btree (id)"
"public","aircraft_import_templates","ix_aircraft_import_template_aircraft_template","CREATE INDEX ix_aircraft_import_template_aircraft_template ON public.aircraft_import_templates USING btree (aircraft_template)"
"public","aircraft_import_templates","ix_aircraft_import_template_model_code","CREATE INDEX ix_aircraft_import_template_model_code ON public.aircraft_import_templates USING btree (model_code)"
"public","aircraft_import_templates","ix_aircraft_import_template_operator_code","CREATE INDEX ix_aircraft_import_template_operator_code ON public.aircraft_import_templates USING btree (operator_code)"
"public","aircraft_import_templates","ix_aircraft_import_template_type","CREATE INDEX ix_aircraft_import_template_type ON public.aircraft_import_templates USING btree (template_type)"
"public","aircraft_import_templates","ix_aircraft_import_templates_name","CREATE INDEX ix_aircraft_import_templates_name ON public.aircraft_import_templates USING btree (name)"
"public","aircraft_import_templates","pk_aircraft_import_templates","CREATE UNIQUE INDEX pk_aircraft_import_templates ON public.aircraft_import_templates USING btree (id)"
"public","aircraft_import_templates","uq_aircraft_import_template_type_name","CREATE UNIQUE INDEX uq_aircraft_import_template_type_name ON public.aircraft_import_templates USING btree (template_type, name)"
"public","aircraft_program_items","ix_aircraft_program_items_aircraft_component_id","CREATE INDEX ix_aircraft_program_items_aircraft_component_id ON public.aircraft_program_items USING btree (aircraft_component_id)"
"public","aircraft_program_items","ix_aircraft_program_items_aircraft_serial_number","CREATE INDEX ix_aircraft_program_items_aircraft_serial_number ON public.aircraft_program_items USING btree (aircraft_serial_number)"
"public","aircraft_program_items","ix_aircraft_program_items_aircraft_status","CREATE INDEX ix_aircraft_program_items_aircraft_status ON public.aircraft_program_items USING btree (aircraft_serial_number, status)"
